countid,id,date,counts,
1427951,Queensboro Bridge,4/1/2016 10:45,36,0
162031,100009424,4/1/2016 10:45,22,4
1770679,Manhattan Bridge,4/1/2016 10:45,34,4
1980411,100010017,4/1/2016 10:45,10,0
3008513,100010020,4/1/2016 10:45,5,0
3263268,100010022,4/1/2016 10:45,25,0
3810601,100047029,4/1/2016 10:45,34,4
4318064,100051865,4/1/2016 10:45,34,4
6124382,100058279,4/1/2016 10:45,12,4
6272701,100062893,4/1/2016 10:45,34,4
6958153,300020904,4/1/2016 10:45,25,4
742492,100009426,4/1/2016 10:45,3,0
1085215,Williamsburg Bridge,4/1/2016 11:00,33,
1427952,Queensboro Bridge,4/1/2016 11:00,27,0
162032,100009424,4/1/2016 11:00,21,4
